avg_ps,min_ps,max_ps,burst_ps,pause_ps
96.0,-16.0,216.0,-496.0,432.0
56.0,-16.0,168.0,-456.0,432.0
72.0,-40.0,152.0,-456.0,432.0
32.0,-64.0,128.0,-400.0,432.0
32.0,-64.0,144.0,-480.0,432.0
48.0,-88.0,128.0,-480.0,432.0
48.0,-64.0,144.0,-424.0,432.0
56.0,-40.0,176.0,-472.0,424.0
48.0,-96.0,128.0,-432.0,432.0
24.0,-72.0,120.0,-480.0,424.0
48.0,-72.0,128.0,-520.0,424.0
32.0,-72.0,104.0,-504.0,432.0
48.0,-88.0,144.0,-456.0,432.0
48.0,-72.0,120.0,-480.0,424.0
32.0,-72.0,120.0,-480.0,432.0
32.0,-72.0,144.0,-496.0,432.0
48.0,-64.0,176.0,-504.0,424.0
48.0,-64.0,168.0,-496.0,432.0
32.0,-72.0,168.0,-520.0,424.0
48.0,-48.0,128.0,-456.0,408.0
32.0,-88.0,128.0,-448.0,432.0
24.0,-88.0,96.0,-408.0,424.0
24.0,-112.0,104.0,-472.0,432.0
32.0,-64.0,144.0,-480.0,432.0
48.0,-72.0,168.0,-496.0,432.0
48.0,-64.0,120.0,-480.0,432.0
32.0,-48.0,128.0,-456.0,432.0
24.0,-96.0,120.0,-480.0,432.0
48.0,-64.0,152.0,-432.0,480.0
48.0,-64.0,144.0,-456.0,432.0
48.0,-72.0,120.0,-448.0,432.0
48.0,-64.0,168.0,-472.0,432.0
48.0,-40.0,168.0,-472.0,480.0
48.0,-48.0,144.0,-504.0,432.0
48.0,-64.0,144.0,-456.0,424.0
32.0,-72.0,120.0,-520.0,432.0
32.0,-72.0,120.0,-448.0,432.0
32.0,-72.0,104.0,-448.0,432.0
32.0,-88.0,144.0,-424.0,432.0
32.0,-72.0,120.0,-520.0,432.0
48.0,-96.0,128.0,-480.0,424.0
56.0,-40.0,144.0,-472.0,432.0
48.0,-48.0,144.0,-520.0,432.0
24.0,-88.0,144.0,-456.0,432.0
32.0,-88.0,120.0,-432.0,432.0
48.0,-48.0,128.0,-480.0,432.0
48.0,-48.0,152.0,-504.0,432.0
24.0,-72.0,104.0,-520.0,432.0
32.0,-48.0,104.0,-480.0,432.0
32.0,-88.0,152.0,-480.0,432.0
48.0,-64.0,144.0,-456.0,432.0
48.0,-48.0,128.0,-480.0,432.0
32.0,-120.0,128.0,-472.0,424.0
56.0,-40.0,168.0,-456.0,480.0
72.0,-40.0,168.0,-456.0,432.0
48.0,-88.0,144.0,-504.0,424.0
48.0,-72.0,128.0,-472.0,432.0
48.0,-40.0,144.0,-496.0,432.0
56.0,-48.0,152.0,-480.0,480.0
56.0,-48.0,168.0,-480.0,480.0
72.0,-40.0,176.0,-456.0,432.0
72.0,-48.0,168.0,-456.0,424.0
48.0,-48.0,144.0,-456.0,424.0
24.0,-88.0,96.0,-504.0,432.0
48.0,-72.0,144.0,-496.0,432.0
48.0,-48.0,152.0,-504.0,432.0
48.0,-64.0,144.0,-496.0,432.0
32.0,-72.0,128.0,-472.0,432.0
72.0,-40.0,176.0,-448.0,432.0
56.0,-48.0,168.0,-448.0,432.0
56.0,-48.0,192.0,-456.0,432.0
48.0,-88.0,168.0,-480.0,480.0
48.0,-72.0,144.0,-496.0,480.0
56.0,-48.0,152.0,-496.0,432.0
48.0,-72.0,144.0,-456.0,432.0
48.0,-40.0,168.0,-496.0,432.0
48.0,-72.0,144.0,-400.0,432.0
48.0,-64.0,128.0,-472.0,432.0
48.0,-48.0,152.0,-448.0,432.0
48.0,-48.0,128.0,-480.0,432.0
48.0,-64.0,144.0,-424.0,432.0
48.0,-48.0,176.0,-424.0,424.0
56.0,-24.0,176.0,-448.0,432.0
32.0,-64.0,128.0,-472.0,432.0
48.0,-40.0,144.0,-496.0,480.0
48.0,-64.0,144.0,-448.0,432.0
48.0,-64.0,152.0,-448.0,432.0
56.0,-24.0,168.0,-472.0,432.0
48.0,-48.0,120.0,-456.0,424.0
48.0,-48.0,152.0,-424.0,424.0
48.0,-24.0,152.0,-480.0,480.0
32.0,-72.0,120.0,-528.0,432.0
32.0,-72.0,120.0,-496.0,432.0
48.0,-72.0,128.0,-504.0,432.0
48.0,-64.0,144.0,-496.0,480.0
32.0,-64.0,104.0,-480.0,432.0
48.0,-96.0,152.0,-528.0,432.0
48.0,-48.0,128.0,-480.0,432.0
48.0,-64.0,152.0,-504.0,432.0
24.0,-88.0,128.0,-456.0,432.0
8.0,-72.0,104.0,-504.0,432.0
24.0,-112.0,120.0,-504.0,432.0
32.0,-88.0,144.0,-480.0,424.0
48.0,-24.0,144.0,-448.0,432.0
48.0,-40.0,152.0,-472.0,432.0
56.0,-48.0,168.0,-480.0,432.0
48.0,-48.0,120.0,-472.0,432.0
32.0,-72.0,120.0,-520.0,432.0
48.0,-72.0,104.0,-448.0,432.0
32.0,-48.0,128.0,-504.0,432.0
32.0,-96.0,104.0,-480.0,432.0
32.0,-88.0,96.0,-496.0,432.0
48.0,-16.0,128.0,-456.0,480.0
24.0,-112.0,104.0,-480.0,480.0
32.0,-72.0,128.0,-496.0,480.0
48.0,-64.0,144.0,-480.0,432.0
24.0,-112.0,120.0,-496.0,432.0
32.0,-72.0,120.0,-496.0,432.0
8.0,-88.0,104.0,-496.0,432.0
0.0,-112.0,80.0,-480.0,432.0
24.0,-72.0,96.0,-496.0,432.0
48.0,-72.0,152.0,-496.0,432.0
32.0,-48.0,104.0,-504.0,424.0
48.0,-40.0,144.0,-520.0,432.0
48.0,-72.0,144.0,-448.0,480.0
48.0,-64.0,144.0,-528.0,432.0
56.0,-48.0,168.0,-448.0,480.0
56.0,-48.0,152.0,-496.0,480.0
48.0,-40.0,128.0,-472.0,480.0
48.0,-64.0,128.0,-496.0,424.0
56.0,-48.0,168.0,-480.0,480.0
48.0,-64.0,152.0,-480.0,432.0
48.0,-48.0,144.0,-520.0,480.0
56.0,-48.0,192.0,-456.0,480.0
56.0,-16.0,152.0,-504.0,432.0
32.0,-88.0,128.0,-456.0,480.0
24.0,-72.0,128.0,-496.0,432.0
32.0,-64.0,120.0,-496.0,432.0
56.0,-16.0,168.0,-520.0,432.0
32.0,-72.0,128.0,-456.0,432.0
24.0,-88.0,104.0,-496.0,432.0
32.0,-72.0,104.0,-504.0,432.0
48.0,-72.0,128.0,-504.0,480.0
48.0,-24.0,168.0,-480.0,480.0
48.0,-64.0,144.0,-432.0,424.0
48.0,-24.0,144.0,-480.0,496.0
48.0,-64.0,152.0,-456.0,432.0
48.0,-72.0,144.0,-504.0,480.0
56.0,-48.0,152.0,-448.0,480.0
72.0,-40.0,152.0,-496.0,480.0
48.0,-48.0,144.0,-496.0,432.0
56.0,-40.0,168.0,-496.0,480.0
48.0,-64.0,144.0,-480.0,432.0
56.0,-16.0,152.0,-424.0,480.0
48.0,-48.0,128.0,-496.0,480.0
48.0,-72.0,144.0,-520.0,432.0
48.0,-72.0,144.0,-480.0,432.0
48.0,-64.0,144.0,-480.0,432.0
56.0,-40.0,168.0,-456.0,480.0
48.0,-48.0,128.0,-432.0,480.0
48.0,-40.0,144.0,-408.0,432.0
56.0,-48.0,144.0,-496.0,432.0
72.0,0.0,168.0,-496.0,432.0
72.0,-24.0,152.0,-520.0,480.0
32.0,-88.0,104.0,-480.0,432.0
48.0,-24.0,152.0,-456.0,480.0
48.0,-40.0,152.0,-496.0,432.0
48.0,-48.0,152.0,-496.0,432.0
56.0,-48.0,144.0,-456.0,432.0
48.0,-48.0,144.0,-432.0,432.0
32.0,-88.0,120.0,-520.0,432.0
48.0,-72.0,144.0,-504.0,480.0
32.0,-48.0,104.0,-432.0,432.0
8.0,-88.0,80.0,-504.0,432.0
32.0,-88.0,128.0,-456.0,432.0
32.0,-96.0,120.0,-480.0,432.0
32.0,-64.0,144.0,-520.0,432.0
48.0,-48.0,120.0,-424.0,432.0
48.0,-72.0,144.0,-480.0,432.0
48.0,-40.0,144.0,-480.0,432.0
32.0,-64.0,152.0,-456.0,432.0
48.0,-64.0,128.0,-472.0,432.0
32.0,-96.0,128.0,-480.0,432.0
32.0,-48.0,104.0,-472.0,432.0
32.0,-64.0,128.0,-480.0,432.0
48.0,-64.0,152.0,-496.0,432.0
48.0,-48.0,144.0,-496.0,432.0
48.0,-40.0,168.0,-504.0,480.0
48.0,-24.0,144.0,-472.0,432.0
32.0,-64.0,128.0,-472.0,432.0
8.0,-88.0,104.0,-504.0,432.0
8.0,-112.0,104.0,-496.0,432.0
32.0,-48.0,144.0,-480.0,480.0
48.0,-88.0,128.0,-448.0,480.0
48.0,-72.0,152.0,-504.0,480.0
32.0,-88.0,120.0,-496.0,480.0
48.0,-40.0,152.0,-472.0,432.0
48.0,-48.0,128.0,-504.0,432.0
56.0,-40.0,128.0,-504.0,480.0
48.0,-72.0,128.0,-480.0,480.0
56.0,-64.0,168.0,-456.0,480.0
48.0,-48.0,168.0,-520.0,432.0
48.0,-48.0,120.0,-448.0,432.0
48.0,-72.0,120.0,-400.0,480.0
48.0,-72.0,144.0,-448.0,480.0
48.0,-40.0,144.0,-400.0,480.0
56.0,-16.0,128.0,-456.0,432.0
48.0,-24.0,144.0,-480.0,480.0
48.0,-64.0,128.0,-480.0,480.0
24.0,-96.0,120.0,-480.0,432.0
32.0,-72.0,104.0,-480.0,432.0
72.0,-24.0,168.0,-504.0,432.0
72.0,-40.0,168.0,-384.0,432.0
48.0,-64.0,144.0,-520.0,432.0
56.0,-24.0,168.0,-456.0,480.0
48.0,-64.0,152.0,-496.0,480.0
48.0,-48.0,128.0,-504.0,432.0
48.0,-72.0,144.0,-496.0,480.0
48.0,-64.0,144.0,-432.0,432.0
48.0,-64.0,120.0,-432.0,480.0
48.0,-72.0,144.0,-448.0,432.0
56.0,-64.0,168.0,-480.0,480.0
56.0,-48.0,152.0,-472.0,480.0
48.0,-24.0,144.0,-496.0,496.0
48.0,-48.0,152.0,-360.0,480.0
32.0,-72.0,120.0,-472.0,432.0
32.0,-64.0,120.0,-472.0,432.0
48.0,-64.0,144.0,-456.0,424.0
56.0,-40.0,152.0,-456.0,480.0
48.0,-40.0,128.0,-432.0,480.0
32.0,-88.0,128.0,-448.0,432.0
32.0,-88.0,104.0,-480.0,480.0
48.0,-64.0,120.0,-480.0,480.0
56.0,-64.0,144.0,-496.0,480.0
56.0,-64.0,168.0,-504.0,480.0
48.0,-48.0,152.0,-472.0,480.0
48.0,-40.0,128.0,-504.0,432.0
24.0,-112.0,104.0,-448.0,432.0
48.0,-64.0,144.0,-496.0,480.0
48.0,-72.0,120.0,-456.0,432.0
32.0,-72.0,120.0,-424.0,432.0
32.0,-48.0,120.0,-472.0,432.0
32.0,-88.0,128.0,-496.0,432.0
24.0,-112.0,128.0,-496.0,424.0
24.0,-112.0,128.0,-432.0,432.0
24.0,-64.0,128.0,-448.0,432.0
24.0,-96.0,128.0,-520.0,432.0
8.0,-120.0,104.0,-520.0,432.0
24.0,-72.0,104.0,-472.0,432.0
24.0,-88.0,120.0,-480.0,432.0
48.0,-64.0,128.0,-456.0,432.0
32.0,-72.0,152.0,-520.0,480.0
32.0,-72.0,152.0,-496.0,432.0
32.0,-72.0,120.0,-472.0,480.0
32.0,-88.0,120.0,-448.0,480.0
48.0,-40.0,128.0,-472.0,480.0
24.0,-88.0,104.0,-496.0,480.0
48.0,-64.0,144.0,-456.0,480.0
48.0,-64.0,120.0,-496.0,480.0
48.0,-48.0,128.0,-448.0,480.0
56.0,-40.0,168.0,-424.0,480.0
56.0,-24.0,152.0,-424.0,480.0
32.0,-96.0,128.0,-400.0,432.0
32.0,-88.0,120.0,-496.0,480.0
48.0,-72.0,144.0,-448.0,480.0
48.0,-72.0,176.0,-496.0,480.0
56.0,-48.0,168.0,-496.0,432.0
72.0,-16.0,168.0,-520.0,480.0
48.0,-72.0,152.0,-456.0,480.0
48.0,-40.0,120.0,-432.0,480.0
56.0,-16.0,168.0,-432.0,480.0
56.0,-64.0,168.0,-480.0,480.0
72.0,-64.0,192.0,-456.0,480.0
48.0,-64.0,152.0,-480.0,480.0
48.0,-40.0,168.0,-496.0,472.0
48.0,-48.0,128.0,-496.0,432.0
56.0,-16.0,152.0,-456.0,480.0
48.0,-64.0,168.0,-504.0,480.0
48.0,-64.0,152.0,-480.0,480.0
72.0,-40.0,168.0,-456.0,480.0
80.0,0.0,200.0,-480.0,480.0
56.0,-88.0,168.0,-472.0,480.0
56.0,-72.0,168.0,-448.0,480.0
48.0,-96.0,144.0,-496.0,480.0
48.0,-64.0,144.0,-456.0,480.0
56.0,-24.0,152.0,-496.0,480.0
48.0,-48.0,152.0,-504.0,480.0
48.0,-88.0,120.0,-432.0,432.0
48.0,-48.0,120.0,-504.0,432.0
48.0,-72.0,144.0,-480.0,432.0
56.0,-40.0,152.0,-520.0,432.0
56.0,-48.0,192.0,-480.0,480.0
24.0,-112.0,120.0,-408.0,424.0
48.0,-88.0,128.0,-480.0,424.0
72.0,-16.0,192.0,-504.0,496.0
48.0,-72.0,144.0,-480.0,432.0
48.0,-88.0,120.0,-480.0,432.0
48.0,-40.0,152.0,-496.0,432.0
56.0,-24.0,152.0,-448.0,480.0
48.0,-24.0,144.0,-456.0,480.0
56.0,-40.0,144.0,-496.0,432.0
48.0,-64.0,128.0,-472.0,432.0
56.0,0.0,152.0,-456.0,496.0
56.0,-48.0,168.0,-496.0,480.0
32.0,-64.0,120.0,-504.0,432.0
32.0,-96.0,144.0,-448.0,480.0
48.0,-48.0,128.0,-456.0,480.0
48.0,-88.0,128.0,-448.0,480.0
56.0,-24.0,152.0,-480.0,480.0
48.0,-112.0,192.0,-504.0,480.0
56.0,-16.0,152.0,-480.0,480.0
48.0,-40.0,152.0,-480.0,480.0
56.0,-40.0,152.0,-480.0,480.0
56.0,-24.0,152.0,-480.0,432.0
48.0,-40.0,152.0,-496.0,480.0
48.0,-88.0,152.0,-448.0,432.0
48.0,-48.0,144.0,-408.0,432.0
48.0,-40.0,144.0,-480.0,480.0
56.0,-48.0,176.0,-480.0,432.0
32.0,-72.0,104.0,-472.0,432.0
32.0,-64.0,128.0,-472.0,432.0
24.0,-112.0,120.0,-456.0,480.0
72.0,-24.0,192.0,-448.0,480.0
48.0,-24.0,128.0,-504.0,480.0
48.0,-88.0,168.0,-432.0,480.0
48.0,-24.0,152.0,-504.0,432.0
48.0,-48.0,144.0,-504.0,432.0
48.0,-88.0,152.0,-480.0,432.0
48.0,-64.0,152.0,-472.0,432.0
48.0,-40.0,128.0,-472.0,432.0
48.0,-48.0,128.0,-480.0,432.0
48.0,-72.0,168.0,-472.0,480.0
48.0,-48.0,144.0,-496.0,480.0
56.0,-24.0,168.0,-448.0,480.0
56.0,-40.0,144.0,-480.0,480.0
48.0,-48.0,144.0,-496.0,432.0
72.0,-40.0,152.0,-480.0,480.0
80.0,-24.0,176.0,-456.0,480.0
56.0,-24.0,152.0,-504.0,480.0
72.0,-24.0,176.0,-480.0,480.0
56.0,-64.0,176.0,-448.0,480.0
48.0,-48.0,144.0,-472.0,432.0
32.0,-64.0,120.0,-432.0,432.0
48.0,-96.0,144.0,-480.0,432.0
48.0,-40.0,144.0,-504.0,432.0
48.0,-72.0,128.0,-456.0,432.0
48.0,-88.0,128.0,-496.0,432.0
48.0,-48.0,128.0,-448.0,432.0
32.0,-88.0,120.0,-432.0,432.0
32.0,-48.0,104.0,-480.0,432.0
32.0,-72.0,144.0,-472.0,432.0
24.0,-88.0,104.0,-504.0,432.0
24.0,-96.0,144.0,-504.0,432.0
48.0,-88.0,120.0,-456.0,432.0
48.0,-72.0,120.0,-520.0,432.0
48.0,-88.0,128.0,-504.0,480.0
32.0,-88.0,104.0,-504.0,424.0
48.0,-48.0,152.0,-472.0,480.0
48.0,-88.0,128.0,-448.0,480.0
24.0,-72.0,96.0,-456.0,432.0
48.0,-64.0,104.0,-496.0,432.0
48.0,-64.0,120.0,-472.0,432.0
48.0,-40.0,128.0,-432.0,480.0
48.0,-40.0,144.0,-472.0,432.0
48.0,-64.0,120.0,-496.0,432.0
24.0,-112.0,96.0,-480.0,432.0
8.0,-96.0,104.0,-472.0,432.0
24.0,-112.0,120.0,-384.0,432.0
56.0,-24.0,168.0,-480.0,480.0
56.0,-48.0,152.0,-480.0,480.0
48.0,-24.0,152.0,-480.0,480.0
48.0,-72.0,128.0,-480.0,480.0
48.0,-64.0,144.0,-480.0,480.0
48.0,-40.0,144.0,-472.0,432.0
32.0,-64.0,120.0,-504.0,432.0
32.0,-72.0,144.0,-456.0,432.0
48.0,-48.0,128.0,-504.0,480.0
56.0,-64.0,152.0,-472.0,480.0
48.0,-16.0,152.0,-480.0,480.0
48.0,-48.0,128.0,-480.0,480.0
56.0,-40.0,152.0,-424.0,480.0
24.0,-88.0,120.0,-448.0,432.0
24.0,-88.0,96.0,-456.0,432.0
32.0,-72.0,104.0,-480.0,448.0
48.0,-40.0,128.0,-480.0,480.0
48.0,-88.0,120.0,-448.0,432.0
48.0,-48.0,144.0,-480.0,480.0
48.0,-40.0,144.0,-496.0,480.0
72.0,-16.0,152.0,-520.0,480.0
72.0,-24.0,152.0,-472.0,480.0
48.0,-40.0,152.0,-480.0,432.0
48.0,-48.0,128.0,-472.0,432.0
48.0,-72.0,144.0,-456.0,480.0
24.0,-72.0,104.0,-472.0,480.0
48.0,-40.0,128.0,-504.0,448.0
32.0,-72.0,120.0,-480.0,480.0
48.0,-64.0,128.0,-504.0,480.0
56.0,-72.0,152.0,-480.0,432.0
56.0,-40.0,168.0,-480.0,480.0
56.0,-40.0,200.0,-504.0,432.0
32.0,-96.0,104.0,-504.0,432.0
32.0,-88.0,128.0,-472.0,432.0
48.0,-64.0,120.0,-496.0,472.0
48.0,-40.0,128.0,-504.0,432.0
56.0,-40.0,176.0,-408.0,480.0
72.0,-40.0,168.0,-504.0,480.0
72.0,-24.0,168.0,-456.0,480.0
48.0,-24.0,168.0,-496.0,480.0
56.0,-24.0,168.0,-504.0,480.0
48.0,-48.0,144.0,-496.0,480.0
56.0,-48.0,192.0,-352.0,480.0
72.0,-64.0,152.0,-472.0,480.0
56.0,-24.0,152.0,-376.0,480.0
48.0,-48.0,128.0,-472.0,432.0
48.0,-24.0,152.0,-472.0,480.0
48.0,-64.0,144.0,-504.0,480.0
48.0,-72.0,128.0,-520.0,432.0
48.0,-40.0,144.0,-472.0,432.0
56.0,-24.0,152.0,-504.0,480.0
48.0,-88.0,152.0,-424.0,480.0
72.0,-24.0,168.0,-496.0,480.0
56.0,-40.0,144.0,-496.0,480.0
32.0,-88.0,120.0,-448.0,432.0
48.0,-48.0,152.0,-408.0,432.0
48.0,-64.0,168.0,-496.0,424.0
48.0,-72.0,128.0,-472.0,480.0
24.0,-88.0,104.0,-480.0,432.0
48.0,-96.0,104.0,-496.0,432.0
